pair_id,set_type,gt_found,GT_x,GT_y,nearest_cand_x,nearest_cand_y,raw_cand_dist_px,refined_dist_px,dist_category,refinement_category
pair_000,SetA,1,571.9958979375593,398.53034370617024,572.0414428710938,403.89324951171875,5.363099199171739,5.363099199171739,NEAR,NOT_REFINABLE
pair_001,SetA,1,373.394215556507,522.6150317343146,373.4590759277344,522.5739440917969,0.07677930791181273,0.07677930791181273,DIRECT,REFINABLE_SUBPIXEL_1PX
pair_002,SetA,1,506.9538393948501,470.58932107692567,510.0493469238281,474.828369140625,5.2489708846889895,5.2489708846889895,NEAR,NOT_REFINABLE
pair_003,SetA,1,607.6968809170181,645.8140267959674,605.7079467773438,645.7266235351562,1.9908536716601364,1.9908536716601364,DIRECT,REFINABLE_SUBPIXEL_5PX
pair_004,SetA,1,560.304385883243,505.4287915025294,558.98193359375,507.201171875,2.2113824279631427,2.2113824279631427,DIRECT,REFINABLE_SUBPIXEL_5PX
pair_005,SetA,1,492.8803672127779,373.9741749168665,492.9282531738281,373.9723815917969,0.047919529218345226,0.047919529218345226,DIRECT,REFINABLE_SUBPIXEL_1PX
pair_006,SetA,1,575.80239958051,444.3205630964013,572.6066284179688,444.41656494140625,3.1972127982939873,3.1972127982939873,DIRECT,REFINABLE_SUBPIXEL_5PX
pair_007,SetA,1,593.4639558322576,511.994170997082,593.6097412109375,511.9017333984375,0.17262122198616017,0.17262122198616017,DIRECT,REFINABLE_SUBPIXEL_1PX
pair_008,SetA,1,422.47519132408166,450.34835894814296,426.41339111328125,450.5422668457031,3.9429706887558615,3.9429706887558615,DIRECT,REFINABLE_SUBPIXEL_5PX
pair_009,SetA,1,563.0039110938745,430.0475336900847,562.951904296875,430.0487365722656,0.05202070606683466,0.05202070606683466,DIRECT,REFINABLE_SUBPIXEL_1PX
pair_010,SetA,1,417.9476615652271,379.3784667651839,417.92919921875,379.3819580078125,0.018789545298735777,0.018789545298735777,DIRECT,REFINABLE_SUBPIXEL_1PX
pair_011,SetA,1,419.3732733102879,570.9308170645421,419.3780517578125,570.9588012695312,0.028389246020621112,0.028389246020621112,DIRECT,REFINABLE_SUBPIXEL_1PX
pair_012,SetA,1,415.3336028778185,532.7045826839757,415.3885803222656,532.6681823730469,0.06593559003791177,0.06593559003791177,DIRECT,REFINABLE_SUBPIXEL_1PX
pair_013,SetA,1,502.2262516372216,399.6174248178575,502.24749755859375,399.6072692871094,0.02354833284392273,0.02354833284392273,DIRECT,REFINABLE_SUBPIXEL_1PX
pair_014,SetA,1,553.5988731132766,605.6026301285106,550.0825500488281,607.7564086914062,4.1235045763962885,4.1235045763962885,DIRECT,REFINABLE_SUBPIXEL_5PX
pair_015,SetA,1,569.1270705065555,421.203732513507,569.039794921875,421.223388671875,0.08946168030561952,0.08946168030561952,DIRECT,REFINABLE_SUBPIXEL_1PX
pair_016,SetA,1,477.5328038616003,586.1320035095774,478.04803466796875,586.0712890625,0.5187957477803636,0.13249843684114862,DIRECT,REFINABLE_SUBPIXEL_1PX
