pair_id,set_type,gf,pf,loc_err,theta,gt_theta,scale,gt_scale,score,correct,failure_mode
pair_000,SetA,1,0,,0.0,0.9442014439113252,0.0,8.906189684526892,0.0279404488779451,0,PRESENCE_FALSE_NEGATIVE
pair_001,SetA,1,1,0.10970668733858964,-0.35,-0.4391901454174718,11.699999999999998,11.638779542655634,0.9253529717193631,1,SUBPIXEL_SUCCESS
pair_002,SetA,1,0,,0.0,-1.96306686038372,0.0,11.693066826665689,0.0277271810297283,0,PRESENCE_FALSE_NEGATIVE
pair_003,SetA,1,0,,0.0,-1.9612051475025936,0.0,8.839181877687723,0.034945378281023,0,PRESENCE_FALSE_NEGATIVE
pair_004,SetA,1,0,,0.0,3.166196187846392,0.0,11.883563444564494,0.0288166758255462,0,PRESENCE_FALSE_NEGATIVE
pair_005,SetA,1,1,3.6202116250038117,1.4,1.4039346441119367,9.602999999999998,9.67770248526582,0.922127587999568,1,IN_BOUNDS_SUCCESS
pair_006,SetA,1,0,,0.0,1.233058771464365,0.0,11.548438869676003,0.0256417984087459,0,PRESENCE_FALSE_NEGATIVE
pair_007,SetA,1,1,0.9662952277254764,4.75,4.7282918969867005,11.187,11.214641544183095,0.9258364398830736,1,SUBPIXEL_SUCCESS
pair_008,SetA,1,1,0.15365701744186908,-3.1,-3.1231085800771217,8.9775,9.062300399015344,0.960899459077621,1,SUBPIXEL_SUCCESS
pair_009,SetA,1,1,0.14580267736498306,-2.1,-2.092745529252402,9.975,9.915692453712564,0.9279907947009076,1,SUBPIXEL_SUCCESS
pair_010,SetA,1,1,3.9175990345061105,-4.7,-4.839363895218075,11.88,11.94919413625179,0.9177987101749256,1,IN_BOUNDS_SUCCESS
pair_011,SetA,1,1,0.20743744477959217,-1.95,-1.910659252690412,8.810999999999998,8.841315001420835,0.9297646487361854,1,SUBPIXEL_SUCCESS
pair_012,SetA,1,1,0.10777078900323857,3.9,3.859945557946375,9.153999999999998,9.18916009698428,0.9588491431356764,1,SUBPIXEL_SUCCESS
pair_013,SetA,1,1,0.29426633570103955,-1.0,-1.0289295566959034,11.7,11.81164656207016,0.9364321729661008,1,SUBPIXEL_SUCCESS
pair_014,SetA,1,0,,0.0,-1.558736066139066,0.0,10.912291628466969,0.0284399516476711,0,PRESENCE_FALSE_NEGATIVE
pair_015,SetA,1,1,0.4168750581832808,-2.35,-2.364970964816345,11.570999999999998,11.607515229888552,0.8976421075899219,1,SUBPIXEL_SUCCESS
pair_016,SetA,1,1,4.632119666640049,0.4,0.4332513476194233,10.074749999999998,10.057211825069125,0.887827761340523,1,IN_BOUNDS_SUCCESS
pair_017,SetA,1,0,,0.0,4.067509923316584,0.0,8.97877119378156,0.0284389772940861,0,PRESENCE_FALSE_NEGATIVE
pair_018,SetA,1,0,,0.0,0.2863939901769177,0.0,9.186375492262773,0.0230339538982134,0,PRESENCE_FALSE_NEGATIVE
