pair_id,candidate_id,cx,cy,corr_score,psr,peak_margin,context_64,context_128,phase_residual,family_id,family_population,family_score_variance,nearest_edge_dist,nearest_cut_dist,row_spacing,col_spacing,local_density,center_prior,correct
adv_000,0,755.5,460.5,0.8208476305007935,1.9845212697982788,1.3828277587890623e-05,0.5593986174644585,0.5990342791002468,0.0372026413679122,13,1,0.0,0.7071067811865476,2.1213203435596424,0.0,0.0,110.400390625,258.5352973966998,0
adv_000,1,240.5,411.5,0.8220123648643494,1.982328414916992,0.000285267829895,0.5882205486882047,0.587860022343497,0.0380684696137905,7,1,0.0,0.7071067811865476,2.1213203435596424,0.0,0.0,108.839111328125,274.17603834033343,0
adv_000,2,268.5,698.5,0.8234528303146362,1.9988449811935425,8.368492126464844e-05,0.5698472118727892,0.5716055388601252,0.0367988012731075,5,1,0.0,0.7071067811865476,2.9154759474226504,0.0,0.0,105.66064453125,304.94999590096734,0
adv_000,3,517.5,390.5,0.8230115175247192,2.1042304039001465,2.992153167724609e-05,0.5621848384316778,0.597288800602253,0.0348279774188995,0,20,1.6025244876516357e-06,0.7071067811865476,6.041522986797286,5.0,3.0,109.776123046875,110.88958472282236,0
adv_000,4,947.5,485.5,0.8208508491516113,2.0250508785247803,3.2186508178710938e-06,0.4392068959824085,0.6013433161021966,0.0406918562948703,12,1,0.0,0.7071067811865476,5.70087712549569,0.0,0.0,110.832763671875,447.7348545735523,0
adv_000,5,801.5,505.5,0.8215849995613098,1.9944679737091064,9.703636169433594e-05,0.4913793473778152,0.548684134063266,0.0343490503728389,9,1,0.0,0.7071067811865476,5.522680508593631,0.0,0.0,110.0205078125,301.55016166468886,0
adv_000,6,262.5,402.5,0.8213211297988892,1.979601263999939,6.270408630371094e-05,0.6148469290360077,0.5288957091324025,0.0382637120783329,11,1,0.0,0.7071067811865476,3.5355339059327378,0.0,0.0,108.916748046875,256.73429844880485,0
adv_000,7,512.5,191.5,0.8217270970344543,1.9847592115402224,1.1205673217773438e-05,0.5557124943978154,0.6244083864453572,0.0380851626396179,0,20,1.6025244876516357e-06,0.7071067811865476,2.9154759474226504,5.0,2.0,112.65380859375,308.75313763587894,0
adv_000,8,279.5,194.5,0.820755660533905,1.9800328016281128,0.820755660533905,0.5207514767088756,0.6420908149939685,0.0372803471982479,0,20,1.6025244876516357e-06,0.7071067811865476,2.1213203435596424,31.0,3.0,111.146728515625,376.7631882230535,0
adv_000,9,809.5,481.5,0.8216161727905273,2.011177062988281,3.11732292175293e-05,0.5190260418004518,0.5321455409381699,0.0408544428646564,8,1,0.0,0.7071067811865476,3.8078865529319534,0.0,0.0,110.4912109375,310.0524149236706,0
