pair_id,cx,cy,corr_score,psr,context_128,phase_residual,phase_penalty,dist_to_center,peak_margin,is_correct,ncc_delta,center_delta,phase_delta,context_delta,rank_by_ncc,rank_by_phase,rank_by_center,family_size,family_population,nearest_competitor_ncc,P0_score,P1_score,P2_score,final_score
pair_000,576.0,641.0,0.840872585773468,2.8378562927246094,0.6687271432217669,0.0640740171074867,0.05,160.17802595861892,0.840872585773468,0,0.0868240594863891,-185.49589279878856,0.0124206487089395,0.078568725066715,1,178,24,14,14,0.8390869498252869,0.8819202172567331,,,
pair_000,568.0,156.0,0.839837908744812,2.745025873184204,0.6656093323347351,0.0615104548633098,0.05,350.65652710308984,0.839837908744812,0,0.0857893824577331,4.982608345682365,0.0098570864647626,0.0754509141796833,2,170,109,17,17,0.8367828726768494,0.6935961085950222,,,
pair_000,577.0,695.0,0.8390869498252869,2.727231740951538,0.6010283123043213,0.0704404115676879,0.05,209.65209276322523,0.8390869498252869,0,0.085038423538208,-136.02182599418225,0.0187870431691408,0.0108698941492695,3,191,44,13,13,0.840872585773468,0.8348495166709351,,,
pair_000,572.0,404.0,0.8382015824317932,2.736921548843384,0.6691603767839079,0.0789584144949913,0.05,120.0,0.8382015824317932,1,0.0841530561447143,-225.67391875740748,0.0273050460964441,0.0790019586288561,4,199,16,20,20,0.8324360847473145,0.9009276389493793,,,
pair_000,569.0,210.0,0.8367828726768494,2.733689308166504,0.6018595538022651,0.0692516416311264,0.05,298.0956222422597,0.8367828726768494,0,0.0827343463897705,-47.57829651514777,0.0175982732325792,0.0117011356472133,5,190,80,19,19,0.839837908744812,0.746448685747189,,,
pair_000,572.0,393.0,0.8324360847473145,2.7092792987823486,0.6602733270912781,0.058516789227724,0.1624999999999999,128.96898852049665,0.8324360847473145,1,0.0783875584602356,-216.70493023691083,0.0068634208291769,0.0701149089362263,6,158,18,20,20,0.8382015824317932,0.8670417238110062,,,
pair_000,573.0,458.0,0.8304392695426941,2.7002923488616943,0.5995078012811175,0.0552013292908668,0.05,84.21995013059554,0.8304392695426941,0,0.0763907432556152,-261.453968626812,0.0035479608923196,0.0093493831260657,7,133,9,20,20,0.8382015824317932,0.8967468797348618,,,
pair_000,569.0,226.0,0.8287848830223083,2.7030184268951416,0.7333827432377741,0.0643236637115478,0.05,282.55441953719287,0.8287848830223083,0,0.0747363567352294,-63.11949922021461,0.0126702953130006,0.1432243250827223,8,180,76,19,19,0.839837908744812,0.7755052545079744,,,
pair_000,567.0,102.0,0.8285161852836609,2.793414354324341,0.7251845580095708,0.0442376621067523,0.05,403.6000495540108,0.8285161852836609,0,0.074467658996582,57.92613079660333,-0.0074157062917947,0.135026139854519,9,36,154,13,13,0.839837908744812,0.6145393089850966,,,
pair_000,298.0,209.0,0.828399658203125,2.6922178268432617,0.6658941565581917,0.0447933711111545,0.05,354.2386201418473,0.828399658203125,0,0.0743511319160461,8.564701384439843,-0.0068599972873926,0.0757357384031399,10,41,112,20,20,0.8228095173835754,0.6773525816868537,,,
