pair_id,set_type,reference_path,search_path,gt_x,gt_y,gt_theta,gt_scale,gt_found,x,y,theta,scale,pred_found,score,set_type_feat,gt_found_feat,corr_score,psr,peak_margin,context_32,context_64,context_128,context_score,phase_residual,phase_penalty,template_residual,center_prior,ambiguity_index,est_scale,est_theta,loc_err,candidate_is_correct,num_peaks_90,stratify_key
pair_000,SetA,reference\pair_000.png,search\pair_000.png,571.9958979375593,398.53034370617024,0.9442014439113252,8.906189684526892,1,576.0041195015351,641.0303778220251,1.0,8.899999999999999,0,0.0,SetA,1,0.8210021257400513,2.668327569961548,-0.0171994566917419,0.7825807108355269,0.7351453005490267,0.7244758205121671,0.740364590591583,0.0354305356740951,0.1662132317597294,2332.95556640625,77.4919350642375,0.9642917115312116,8.899999999999999,1.0,242.53315729255803,0,7.331672430038452,SetA_0
pair_001,SetA,reference\pair_001.png,search\pair_001.png,373.394215556507,522.6150317343146,-0.4391901454174718,11.638779542655634,1,372.9761899901738,522.5700979340797,-0.75,11.699999999999998,1,0.2958497613610494,SetA,1,0.8722559809684753,2.695727825164795,-0.0100604891777038,0.8440813269384622,0.8103533586896315,0.7640622206179947,0.798582497110743,0.0877542942762374,0.05,1876.4871826171875,25.739075352467506,0.9022619485855102,11.699999999999998,-0.75,0.4204336101119137,1,7.304272174835205,SetA_1
pair_002,SetA,reference\pair_002.png,search\pair_002.png,506.9538393948501,470.58932107692567,-1.96306686038372,11.693066826665689,1,0.0,0.0,0.0,0.0,0,0.013333333333333332,SetA,1,0.7005248665809631,2.036292314529419,0.0019161701202392,0.4406458996503998,0.4124938648286195,0.7081801550513697,0.5363987878820757,0.0455083586275577,0.0935854122563142,2473.865234375,191.7094155225559,0.8881917392510468,11.699999999999998,-2.0,691.7055040903039,0,7.963707685470581,SetA_0
pair_003,SetA,reference\pair_003.png,search\pair_003.png,607.6968809170181,645.8140267959674,-1.9612051475025936,8.839181877687723,1,433.4987649327444,640.4155749225612,-2.0,8.799999999999999,0,0.013333333333333332,SetA,1,0.8629303574562073,1.7852431535720823,-2.9861927032470703e-05,0.8427308350659256,0.8420303908277662,0.8406483153288767,0.8416176494758424,0.0366178527474403,0.0875,1964.7744140625,188.67962264113208,0.8520360946655273,8.799999999999999,-2.0,174.28174573115788,0,8.214756846427917,SetA_0
pair_004,SetA,reference\pair_004.png,search\pair_004.png,560.304385883243,505.4287915025294,3.166196187846392,11.883563444564494,1,0.0,0.0,0.0,0.0,0,0.0,SetA,1,0.7259329557418823,2.611015558242798,-0.0059866905212402,0.6492459679901402,0.6291435996591795,0.7062867297183936,0.6640213253490573,0.0629726126790046,0.05,2071.6689453125,48.373546489791295,0.975243532328724,11.9,3.25,754.585494241511,0,7.388984441757202,SetA_0
pair_005,SetA,reference\pair_005.png,search\pair_005.png,492.8803672127779,373.9741749168665,1.4039346441119367,9.67770248526582,1,467.0032466331452,374.09644277785816,1.5,9.699999999999998,1,0.198107109313221,SetA,1,0.8726896047592163,1.9162007570266724,0.0196651816368103,0.6950503662273401,0.6113302021170289,0.7885744505749765,0.6989719343222702,0.0440682917833328,0.05,1920.154541015625,129.89418770676386,0.8523047326698835,9.699999999999998,1.5,25.877409432218737,0,8.083799242973328,SetA_0
pair_006,SetA,reference\pair_006.png,search\pair_006.png,575.80239958051,444.3205630964013,1.233058771464365,11.548438869676003,1,0.0,0.0,0.0,0.0,0,0.0,SetA,1,0.7057155966758728,2.042122840881348,-0.0003842115402221,0.3993177873846951,-0.0839483810348675,0.6925512206785638,0.3233046933344175,0.0455280989408493,0.1624999999999999,2464.128662109375,178.9986033465066,0.8871009111404419,11.499999999999998,1.25,727.3026647503613,0,7.957877159118652,SetA_0
pair_007,SetA,reference\pair_007.png,search\pair_007.png,593.4639558322576,511.994170997082,4.7282918969867005,11.214641544183095,1,750.469000618897,498.9561623636368,4.75,11.3,0,0.08524884240139483,SetA,1,0.8541385531425476,2.412214994430542,-0.0017109513282775,0.7270243848076363,0.7933873002944433,0.8286393284703248,0.7942155284674346,0.052476841956377,0.05,1860.5867919921875,46.14108798023731,1.0012725158095923,11.3,4.75,157.5454656839746,0,7.587785005569458,SetA_0
pair_008,SetA,reference\pair_008.png,search\pair_008.png,422.47519132408166,450.34835894814296,-3.1231085800771217,9.062300399015344,1,0.0,0.0,0.0,0.0,0,0.013333333333333332,SetA,1,0.7827922105789185,2.400052309036255,0.0025340914726257,0.5087296864112119,0.5884460911287902,0.6463968628850455,0.5956831188877767,0.0320936106145381,0.1296164609606622,2455.01123046875,106.26617523934884,0.9872760537104192,8.999999999999998,-3.0,617.4940742157812,0,7.599947690963745,SetA_0
pair_009,SetA,reference\pair_009.png,search\pair_009.png,563.0039110938745,430.0475336900847,-2.092745529252402,9.915692453712564,1,562.8284662421587,430.0641304263631,-2.0,9.999999999999998,1,0.7,SetA,1,0.8905602693557739,2.2868921756744385,0.0066197514533996,0.7625937869884385,0.7518645713984116,0.8156888111387918,0.7795401104125691,0.1106034442782402,0.05,1815.4139404296875,94.17536832951598,0.8346535869633637,9.999999999999998,-2.0,0.17622811253794268,1,7.7131078243255615,SetA_1
