pair_id,required_ranker_delta
pair_001,0.0
pair_007,0.0
pair_019,0.0
pair_015,0.0
pair_013,0.0
pair_012,0.0
pair_011,0.0
pair_010,0.0
pair_035,0.0
pair_033,0.0
pair_026,0.0
pair_028,0.0
pair_025,0.0
pair_023,0.0
pair_022,0.0
pair_021,0.0
pair_037,0.0
pair_064,0.0
pair_065,0.0
pair_059,0.0
pair_071,0.0
pair_069,0.0
pair_074,0.0
pair_067,0.0
pair_063,0.0
pair_054,0.0
pair_049,0.0
pair_051,0.0
pair_055,0.0
pair_090,0.0
pair_092,0.0
pair_087,0.0
pair_103,0.0
pair_105,0.0
pair_133,0.0
pair_139,0.0
pair_129,0.0
pair_131,0.0
pair_117,0.0
pair_109,0.0
pair_089,0.0
pair_095,0.0
pair_111,0.0
pair_093,0.009623517676238369
pair_082,0.013131157524247702
pair_083,0.025343569529097297
pair_057,0.027329841504612595
pair_017,0.034547709347444694
pair_061,0.034654284496978646
pair_126,0.03973846031267536
pair_088,0.040913118370435986
pair_125,0.04571596116672458
pair_132,0.045994780364642704
pair_009,0.06321475346618954
pair_006,0.06393530003386426
pair_135,0.0693884633938644
pair_047,0.08045585214179485
pair_115,0.08378660098064727
pair_039,0.08586041238014464
pair_122,0.09696795930952928
pair_066,0.10567719082454186
pair_107,0.10977510590376563
pair_100,0.12045185243722556
pair_097,0.13342181974915562
pair_038,0.13696314646634467
pair_081,0.13749454446511364
pair_099,0.141314420560821
pair_106,0.14277532675930482
pair_113,0.14828804224426007
pair_137,0.1554849883107538
pair_016,0.17379884577091442
pair_114,0.1826018120842159
pair_043,0.1852189899070916
pair_072,0.18612495423245218
pair_070,0.204393524887481
pair_027,0.21036512848954825
pair_003,0.21234004397185827
pair_041,0.21650544804889837
pair_045,0.22541737881275825
pair_029,0.22989822834348472
pair_005,0.2637242491727983
pair_080,0.29240509381996566
pair_079,0.30452960986124344
pair_101,0.3998605391997234
pair_052,0.40892993292013335
pair_073,0.5133008977752958
pair_053,0.5790858359531996
pair_123,0.6110691453622835
pair_130,0.619812113135259
pair_032,0.6557824181140477
pair_077,0.681312368623374
pair_078,0.6893257276972862
pair_098,0.7523807963726277
pair_116,0.7574460279329214
pair_128,0.767832418324974
pair_084,0.7905446402906304
pair_008,0.7988234265508201
pair_004,0.8262371313000152
pair_062,0.8434094698568432
pair_044,0.8615590769614461
pair_136,0.8714499042984188
pair_050,0.8744654389458267
pair_096,0.8794238516859656
pair_048,0.8801776770079992
pair_020,0.913213934150807
