pair_id,present,x,y,theta,scale
v00000,1,300.3181168120837,503.5094308531579,-2.841247362556291,11.465489463630528
v00001,0,0.0,0.0,0.0,0.0
v00002,1,504.7551856363347,294.7350099724458,-4.836872553842603,9.12140743027045
v00003,1,434.087588409319,360.1291400959104,1.344355213104146,10.174448594166337
v00004,1,291.4727235773346,456.31024993476416,2.376813509667289,8.795541632531881
v00005,1,322.7589978717349,386.94272918931813,0.6131345219056747,8.22413772732357
v00006,1,448.0830423156629,566.3484449965271,1.3073799371310137,9.83729035482385
v00007,0,0.0,0.0,0.0,0.0
v00008,1,449.66687645051695,474.6502502321306,-1.2022604230366838,11.268190979728937
v00009,0,0.0,0.0,0.0,0.0
v00010,1,519.7080250006884,598.0280583263975,2.746464995294029,8.074538761909876
v00011,0,0.0,0.0,0.0,0.0
v00012,1,545.0478344332857,600.5267224257274,0.2962678900108262,8.96115923057279
v00013,1,475.87663210250685,412.8934359379216,4.4228025284925,10.210772323707499
v00014,1,659.1464479043836,374.40371834303284,-3.6552670062731965,9.319662234925424
v00015,1,470.6347449988011,635.3820270187034,-4.499690728168363,8.734616754611162
v00016,1,538.5878828295815,590.4226405790954,-2.434090237303723,9.661698998936307
v00017,1,379.4449882454919,503.37977779552386,0.07025148426358463,11.119837261927925
v00018,0,0.0,0.0,0.0,0.0
v00019,1,549.5424791121344,310.83875799402847,-1.8890478973213334,8.043280359062317
v00020,1,674.3355401045421,505.51226361131404,4.533978960318368,10.096300729659163
v00021,1,684.7404829495293,637.9441026003152,0.16306552747938152,10.001305099897044
v00022,1,533.2809031542894,464.099218220967,4.265456556562203,9.180732297699263
v00024,1,455.14665507198083,387.1751730231227,3.5682206338190454,8.856214733375651
v00025,1,657.994417430354,476.52134109476134,-2.051262741423412,8.462036686658829
v00026,1,298.24734622404964,370.758336251522,-0.4541014655829221,8.997132925035238
v00027,1,286.3264490161533,689.3730856090898,1.1103376530327633,11.958578282512262
v00028,1,299.77665228119355,304.9727533961767,0.39918238400412775,8.820275855625793
v00029,1,391.77592298437213,471.9146936754739,-3.4752643826422225,10.604715930216694
v00030,1,540.5636616438949,571.9646720891301,1.1220109084222702,8.796496189690647
v00031,0,0.0,0.0,0.0,0.0
v00032,1,341.0536808358459,583.4197601221433,3.597996262684415,8.048222419888184
v00033,1,682.2582215065311,437.4967324993741,-3.350770057305017,8.619947688323432
v00034,0,0.0,0.0,0.0,0.0
v00035,1,501.35668169559233,482.77135416552545,-4.176943707965402,10.570874957909794
v00036,1,649.0832503596276,548.3610940938447,-0.6285661114038108,8.286144574866189
v00037,1,520.9618689952129,450.6660103295176,-1.6060506273327002,9.57997928903805
v00038,1,336.8810327562551,627.3402721914402,4.6494806610982735,9.449438413084291
v00039,1,451.3822017444689,588.0800834808108,-2.6300775410146784,11.479816378827012
v00040,1,362.5946017825546,668.6010676327197,-4.988833443171461,11.002608109179551
v00041,1,387.5240689470297,518.9620300611972,4.412118461074767,10.211381479222775
v00042,1,347.26468143787685,700.6757582248196,-0.6511896109173643,9.413261415757072
v00043,1,603.181512005678,347.455699702973,3.420646030950328,9.55766771455922
v00044,1,692.9823219074804,447.85270890040965,-3.160313438448541,10.445896559885082
v00045,1,533.0827505369547,492.48681002378,0.12138645077559573,11.468717384786563
v00046,1,525.9244338975382,662.1816179704289,1.5306644322577254,11.880796272239046
v00047,1,363.22882711938854,283.6520989446292,-2.191434230183573,8.375098766839674
v00048,1,353.5002982542936,383.2476348610272,-3.82950548885281,10.114577441557815
v00049,0,0.0,0.0,0.0,0.0
v00050,1,609.6541017467422,655.7764307638809,3.228947469330647,8.31021833428005
v00051,1,471.73322706772694,336.51915381021087,-3.9941004110320177,8.04426032026883
v00052,1,641.8561999245599,583.3926064752336,-1.1391391827510713,10.207662117298096
v00053,1,313.70913458394466,583.6833959893029,-3.79940376062165,11.941988793289129
v00054,1,293.2520086730995,706.3643517077812,3.311593799789291,10.82580664891211
v00055,1,534.568750575911,564.061520651129,1.6239550102690892,11.887112550052017
v00056,1,673.3633181872043,506.61448938516605,-4.672530991394948,9.574672015121882
v00057,1,651.0960688754112,413.2655283488855,2.816907658999641,11.242455028801526
v00058,1,380.9005610833672,301.3683290382771,2.8234556912000173,9.265950617162355
v00059,1,367.8260140649704,668.7946735015624,-3.3869673444936508,8.422315043976262
v00060,1,294.64857874732235,416.9903865604828,-3.8377325745270054,8.468234276215231
v00061,1,518.582069387153,664.1887096622186,-4.482697739401611,9.566595807350673
v00062,1,346.19984459042246,697.5024150683852,-0.4709419175917571,11.648206138543783
v00063,1,641.7103761273555,396.3528474203875,0.2901190329038519,11.372286834383488
v00064,1,442.2151934455712,545.1084425993207,-4.553325640416556,8.77855109686471
v00065,1,540.959112450896,626.934696727266,-1.5803042813709012,11.969819822039357
v00066,1,669.5089669006201,357.2760897114701,-3.9904722343808063,10.716204063256171
v00067,1,294.79069995556256,602.5368013606458,0.23753560403991347,11.505762384020258
v00068,1,523.0819236159485,625.3160870730886,-2.321694507696103,11.0045166158789
v00069,1,577.6279736145929,668.9552244058037,-0.8858718996047656,8.476723909416087
v00070,1,411.62364502947673,656.5209525631108,3.6144821324036034,8.549587828422608
v00071,0,0.0,0.0,0.0,0.0
v00072,1,282.22596259156546,503.14567996365867,0.9345487292889452,10.668186477895262
v00073,0,0.0,0.0,0.0,0.0
v00074,1,638.475602294089,357.93533350826687,-1.5751363181082034,9.855108948987734
v00075,1,564.4260061930397,438.6354487679752,-4.189048804251751,8.42092689258001
v00076,1,284.42279883773074,632.6644079276532,4.534512751371478,8.239875830948904
v00077,1,507.99397793958485,539.9196163059368,-0.042605554632391573,8.910737091726318
v00078,1,555.533499934531,472.2300092400392,4.1574194748004025,11.130419798067791
v00079,1,562.2189917078956,332.3318657343199,-1.2557843468706107,10.47622579923627
v00081,1,472.7059469174021,513.0490517774834,-2.615828643907415,9.311489811921295
v00082,0,0.0,0.0,0.0,0.0
v00083,1,291.2552335617144,666.0956512566379,-2.1991822516550954,8.886209699252774
v00084,1,557.9609638887354,585.7150117730247,1.7804785486798194,8.343428899136901
v00086,0,0.0,0.0,0.0,0.0
v00087,1,364.984076368964,301.2806697366931,0.8972686007560249,8.276141987264108
v00088,0,0.0,0.0,0.0,0.0
v00089,1,500.20766843326186,366.83372127699545,4.788791463849778,10.538538998757442
v00090,0,0.0,0.0,0.0,0.0
v00092,0,0.0,0.0,0.0,0.0
v00093,1,341.3734291169652,718.6047815748711,-2.991774260256438,10.22942671742068
v00094,0,0.0,0.0,0.0,0.0
v00095,1,571.1758301163362,424.58646573112327,4.644633524428777,10.807142252348244
v00096,0,0.0,0.0,0.0,0.0
v00097,1,653.9048698428086,512.2367037032393,-2.239452668738078,9.541922021876942
v00099,1,496.47254532428974,294.5438966673828,2.685971737284161,11.007408250886744
