pair_id,x,y,theta,scale,found,score
pair_000,0.0,0.0,0.0,0.0,0,0.5501442265132861
pair_001,373.49449558894446,522.5705404729125,-0.35,11.699999999999998,1,0.9529765588258593
pair_002,0.0,0.0,0.0,0.0,0,0.24084996169953896
pair_003,0.0,0.0,0.0,0.0,0,0.454183254097476
pair_004,0.0,0.0,0.0,0.0,0,0.4672491293347355
pair_005,496.4982044613764,373.8430800944442,1.4,9.602999999999998,1,0.8210155850208818
pair_006,0.0,0.0,0.0,0.0,0,0.25337032806169973
pair_007,592.5,512.0613693644843,4.75,11.187,1,0.9200490841080537
pair_008,422.5,450.5,-3.1,8.9775,1,0.9075094109012949
pair_009,562.8581103436682,430.04828333403697,-2.1,9.975,1,0.8760877342892149
pair_010,418.5,375.5,-4.7,11.88,1,0.9014111798869993
pair_011,419.1658868682338,570.9354167546222,-1.95,8.810999999999998,1,0.9286047967465934
pair_012,415.4289145506948,532.6542813124645,3.9,9.153999999999998,1,0.8502577737675852
pair_013,502.518586956735,399.58376865509496,-1.0,11.7,1,0.9427384587678761
pair_014,0.0,0.0,0.0,0.0,0,0.50217643323026
pair_015,568.7121878991512,421.16302334735536,-2.35,11.570999999999998,1,0.9239374214456584
pair_016,477.5,581.5,0.4,10.074749999999998,1,0.9142821119685779
pair_017,0.0,0.0,0.0,0.0,0,0.43430834942397684
pair_018,0.0,0.0,0.0,0.0,0,0.4355886067082841
pair_019,462.81973429075913,460.230999373619,2.65,8.664499999999999,1,0.9341325621484808
pair_020,0.0,0.0,0.0,0.0,0,0.5465135187973229
pair_021,465.0504112830255,532.2187343250473,0.7,11.570999999999998,1,0.9524246734635956
pair_022,442.6510005274641,353.5874174030195,-2.7,10.377250000000002,1,0.9094227055548758
pair_023,357.268740029777,561.7062202828068,5.05,9.32325,1,0.9482334145220517
pair_024,0.0,0.0,0.0,0.0,0,0.25784622026880843
pair_025,379.8003461208645,515.4523189553084,-3.4,11.199999999999998,1,0.8630544051569897
pair_026,513.9979639315527,617.9619094048236,-3.5500000000000003,11.8405,1,0.8875194088943891
pair_027,0.0,0.0,0.0,0.0,0,0.6138342882819712
pair_028,478.04985212343104,439.9361849830313,1.0,11.570999999999998,1,0.9121954373453984
pair_029,0.0,0.0,0.0,0.0,0,0.38718448985514603
pair_030,0.0,0.0,0.0,0.0,0,0.38679393506305026
pair_031,0.0,0.0,0.0,0.0,0,0.40590185196313455
pair_032,471.0446611718314,488.0501383371991,-4.85,10.81825,1,0.9040883377360116
pair_033,506.52742141113526,415.50205679406486,1.7,8.9775,1,0.9445833301071216
pair_034,0.0,0.0,0.0,0.0,0,0.2573948755849132
pair_035,380.7255624371082,390.8872339001392,2.3,11.07225,1,0.9297107851929042
pair_036,0.0,0.0,0.0,0.0,0,0.32117405003307725
pair_037,637.0109283799114,414.2592389650404,-4.2,10.705999999999998,1,0.9106946242587837
pair_038,0.0,0.0,0.0,0.0,0,0.5115171457788663
pair_039,414.8299623686772,445.5891957755561,-3.7,9.9,1,0.8930122139353088
pair_040,0.0,0.0,0.0,0.0,0,0.23871175100690242
pair_041,377.0799320902274,679.0552388438537,-0.55,8.179499999999999,1,0.9202183164359301
pair_042,0.0,0.0,0.0,0.0,0,0.5505250336207416
pair_043,0.0,0.0,0.0,0.0,0,0.4431664212746205
pair_044,0.0,0.0,0.0,0.0,0,0.5965340898037611
pair_045,0.0,0.0,0.0,0.0,0,0.556432889674782
pair_046,0.0,0.0,0.0,0.0,0,0.336672988314222
pair_047,500.029535490412,488.85458165688175,2.75,9.306,1,0.9373953389516917
pair_048,0.0,0.0,0.0,0.0,0,0.5843807176302765
pair_049,435.8941444992787,504.3134457985,2.45,10.988999999999995,1,0.928365247741621
pair_050,0.0,0.0,0.0,0.0,0,0.6044919454829731
pair_051,583.2166985967017,574.3442848102895,-2.45,11.384999999999998,1,0.9002616412470342
pair_052,583.9961589385097,537.9250279948465,-0.25,10.599999999999998,1,0.9083537325390348
pair_053,482.1807135917244,519.2896558348002,-4.75,11.483999999999998,1,0.9056753505399968
pair_054,524.4964395780983,385.3430550027297,3.7,10.47375,1,0.8860939138389038
pair_055,404.7825289994924,391.51476955066215,-0.85,11.4425,1,0.9443718941903375
pair_056,0.0,0.0,0.0,0.0,0,0.2798064724623701
pair_057,555.0,448.0,-0.5,8.599999999999998,1,0.9347134543151865
pair_058,0.0,0.0,0.0,0.0,0,0.3497583416891264
pair_059,614.5366038470746,423.4292315172431,1.2,8.379,1,0.9403716079764789
pair_060,0.0,0.0,0.0,0.0,0,0.37318965131147214
pair_061,0.0,0.0,0.0,0.0,0,0.37249199455354276
pair_062,322.1204310127836,581.9140388377085,-2.35,8.23775,1,0.9207521739886985
pair_063,612.7665524534143,489.0920924729873,2.8,11.58625,1,0.9145824033493787
pair_064,556.0004382778786,449.872515030751,3.05,9.4,1,0.9223822396065715
pair_065,373.49940834599926,603.5485621239922,-3.3,11.999999999999998,1,0.9231312125201236
pair_066,509.9829686477223,567.0163622531024,-0.45,10.174499999999998,1,0.9223107348359234
pair_067,528.9938706747406,440.8356962321885,4.05,9.230249999999996,1,0.9364062414363026
pair_068,0.0,0.0,0.0,0.0,0,0.2571516082702585
pair_069,472.821556501014,554.6576186598484,0.5,8.822,1,0.9256575540283157
pair_070,0.0,0.0,0.0,0.0,0,0.2597989518615404
pair_071,556.9566744995578,576.0291946639572,1.3,10.174499999999998,1,0.9001193236487651
pair_072,418.89025330013,631.9607018294105,-0.5499999999999999,10.296,1,0.799507302679918
pair_073,0.0,0.0,0.0,0.0,0,0.521401519670781
pair_074,550.971123663356,562.939650782887,-1.5,8.734,1,0.9263224367801407
pair_075,0.0,0.0,0.0,0.0,0,0.3798162841502281
pair_076,0.0,0.0,0.0,0.0,0,0.2527019040642242
pair_077,571.5,478.8202948560365,-3.2,11.483999999999998,1,0.9253898610869901
pair_078,0.0,0.0,0.0,0.0,0,0.49059953525685296
pair_079,437.7240649611533,512.2217864008172,2.05,9.576,1,0.9087846039232602
pair_080,0.0,0.0,0.0,0.0,0,0.31880068705444237
pair_081,643.4571949191728,625.3562813934049,0.5,9.499999999999998,1,0.8862901797178607
pair_082,0.0,0.0,0.0,0.0,0,0.27033209000195024
pair_083,0.0,0.0,0.0,0.0,0,0.4198048285132416
pair_084,457.5550859731402,550.231844027359,3.3,9.153999999999998,1,0.8649686615751248
pair_085,0.0,0.0,0.0,0.0,0,0.3550918044814404
pair_086,0.0,0.0,0.0,0.0,0,0.19901993897046558
pair_087,562.0328712748895,483.7661493380784,-0.75,9.9,1,0.8911140820384218
pair_088,583.1306986107421,635.8124920153167,0.45,8.599999999999998,1,0.8990418752251581
pair_089,614.8543225041748,401.0993046289637,-3.5,11.570999999999998,1,0.9224608232108253
pair_090,348.04196637653826,417.602818221507,4.65,9.873500000000002,1,0.9021547044192616
pair_091,0.0,0.0,0.0,0.0,0,0.42756312249586903
pair_092,399.0,370.0,4.9,9.054499999999996,1,0.9090687194039457
pair_093,567.2090456532036,513.5594199547724,-2.6,8.379,1,0.9303020926069494
pair_094,0.0,0.0,0.0,0.0,0,0.3442620825978408
pair_095,631.0213669043443,614.1652207134981,3.25,11.570999999999998,1,0.8811302231404807
pair_096,0.0,0.0,0.0,0.0,0,0.5685378158837628
pair_097,537.1677860927801,462.4342376221357,0.0999999999999999,11.4425,1,0.8874285096774877
pair_098,0.0,0.0,0.0,0.0,0,0.4456576441655004
pair_099,416.9045117380385,408.8780337908248,4.1000000000000005,8.734,1,0.914983292491033
pair_100,496.5552875519497,472.27026919317257,3.65,9.675749999999995,1,0.8962200940325468
pair_101,617.8956772935348,658.7918436935195,-0.5499999999999999,8.513999999999998,1,0.9440010822078514
pair_102,0.0,0.0,0.0,0.0,0,0.5583539431994157
pair_103,461.0832461177374,582.12047320447,3.4,11.8405,1,0.9158720472308199
pair_104,0.0,0.0,0.0,0.0,0,0.3381004539517496
pair_105,390.9807917636589,437.4338602671011,-4.55,11.88,1,0.9429683713905175
pair_106,353.03187752684426,447.9800770979875,3.4,10.2765,1,0.8753423533052995
pair_107,551.9964949678883,330.7539148937233,-0.1,8.457499999999998,1,0.8811822444632318
pair_108,0.0,0.0,0.0,0.0,0,0.3431589530903443
pair_109,594.5243997886158,558.123654507373,-2.1,11.2,1,0.8861948679461601
pair_110,0.0,0.0,0.0,0.0,0,0.20205172088848303
pair_111,641.7296485683474,514.2424713942962,-1.05,8.039250000000001,1,0.9289947783552662
pair_112,0.0,0.0,0.0,0.0,0,0.3089062619045451
pair_113,0.0,0.0,0.0,0.0,0,0.454169693703895
pair_114,641.4943405430324,410.512498638839,0.55,10.274250000000002,1,0.8724298971386663
pair_115,401.0,559.632577132905,-2.2,11.8405,1,0.9268964027367523
pair_116,0.0,0.0,0.0,0.0,0,0.5346522964320192
pair_117,463.6905705296428,378.257020247888,4.65,11.483999999999998,1,0.9050349994979012
pair_118,0.0,0.0,0.0,0.0,0,0.2692388525768249
pair_119,0.0,0.0,0.0,0.0,0,0.3486130193469087
pair_120,0.0,0.0,0.0,0.0,0,0.2731327136156648
pair_121,0.0,0.0,0.0,0.0,0,0.31950626702870905
pair_122,455.43054277080313,564.5784338720948,-0.45,9.675749999999995,1,0.8908058176469524
pair_123,0.0,0.0,0.0,0.0,0,0.5169940417104997
pair_124,0.0,0.0,0.0,0.0,0,0.3010204104427858
pair_125,605.5641896471157,541.5395473642117,-3.5,10.274249999999997,1,0.8632135915916878
pair_126,538.9991718873151,480.9375858382191,1.0,11.570999999999998,1,0.8798975658391052
pair_127,0.0,0.0,0.0,0.0,0,0.39954238333295883
pair_128,0.0,0.0,0.0,0.0,0,0.5232291237176887
pair_129,382.1261153341308,544.7889457860163,-3.35,8.513999999999998,1,0.9372408033927658
pair_130,418.7832687097829,549.4734887839675,-4.05,11.054999999999996,1,0.8879978565477453
pair_131,619.3813572002923,408.44454185155456,1.2,9.67575,1,0.8988567532886536
pair_132,0.0,0.0,0.0,0.0,0,0.21164649747356015
pair_133,592.3095548768929,394.1996435210058,4.05,10.593,1,0.925153921291744
pair_134,0.0,0.0,0.0,0.0,0,0.3975006645906612
pair_135,593.5946035302977,434.1484945424028,-0.5,8.181,1,0.9353767253471543
pair_136,0.0,0.0,0.0,0.0,0,0.518718410624154
pair_137,0.0,0.0,0.0,0.0,0,0.4282980107406863
pair_138,0.0,0.0,0.0,0.0,0,0.25065116448870417
pair_139,468.5333116780342,617.0545312880247,1.25,9.602999999999998,1,0.9254664656760451
pair_140,569.4642505815334,563.491541034426,3.15,8.9775,1,0.8987357674433635
pair_141,0.0,0.0,0.0,0.0,0,0.4647996175559085
pair_142,0.0,0.0,0.0,0.0,0,0.22114553696719344
pair_143,0.0,0.0,0.0,0.0,0,0.6257986375914512
pair_144,0.0,0.0,0.0,0.0,0,0.4833430269020679
pair_145,0.0,0.0,0.0,0.0,0,0.628583874842082
pair_146,0.0,0.0,0.0,0.0,0,0.5404729484319999
pair_147,0.0,0.0,0.0,0.0,0,0.6351226926904008
pair_148,0.0,0.0,0.0,0.0,0,0.5223735305157441
pair_149,0.0,0.0,0.0,0.0,0,0.4742300441030452
pair_150,0.0,0.0,0.0,0.0,0,0.3940898841076731
