pair_id,set_type,reference_path,search_path,gt_x,gt_y,gt_theta,gt_scale,gt_found
adv_000,01_exact_periodic_replica,reference/adv_000.png,search/adv_000.png,499.8954548445577,496.6628621363422,-1.6738659497187276,9.90224513740011,1
adv_001,01_exact_periodic_replica,reference/adv_001.png,search/adv_001.png,568.3816731129565,428.97681655289205,1.6922785977611756,9.4821558550056,1
adv_002,01_exact_periodic_replica,reference/adv_002.png,search/adv_002.png,529.1807316470569,530.1582626912569,0.6562382881811426,9.051998405222971,1
adv_003,01_exact_periodic_replica,reference/adv_003.png,search/adv_003.png,582.8369706486981,430.4278290255184,0.5208164823862531,10.717182207800104,1
adv_004,01_exact_periodic_replica,reference/adv_004.png,search/adv_004.png,538.3544590474631,538.2859396107957,-2.325790596004681,10.368832687544412,1
adv_005,01_exact_periodic_replica,reference/adv_005.png,search/adv_005.png,442.32905160607623,513.7858170536914,-0.436216511628968,9.736705516940642,1
adv_006,01_exact_periodic_replica,reference/adv_006.png,search/adv_006.png,507.19293173186253,557.3274640506605,-2.0183932720186446,9.826696910363584,1
adv_007,01_exact_periodic_replica,reference/adv_007.png,search/adv_007.png,398.2205104083679,548.0265530045394,-1.1864851916098018,9.696410378940204,1
adv_008,01_exact_periodic_replica,reference/adv_008.png,search/adv_008.png,559.8945485507062,502.9635795447598,-1.1457123000734655,10.484974624573958,1
adv_009,01_exact_periodic_replica,reference/adv_009.png,search/adv_009.png,551.7302413859416,535.4108442703869,1.5067292517276858,9.984305743613273,1
adv_010,01_exact_periodic_replica,reference/adv_010.png,search/adv_010.png,578.9665126667178,550.7323155947741,-0.7804117143713327,10.634050762361497,1
adv_011,01_exact_periodic_replica,reference/adv_011.png,search/adv_011.png,559.4021720592502,485.302996671058,-1.4702229356193577,9.46487137341468,1
adv_012,01_exact_periodic_replica,reference/adv_012.png,search/adv_012.png,441.5699052784666,567.2149749223189,1.300489551768301,10.284930610516033,1
adv_013,01_exact_periodic_replica,reference/adv_013.png,search/adv_013.png,592.7475828946912,466.1591256833352,1.0238401127911807,9.695595618720274,1
adv_014,01_exact_periodic_replica,reference/adv_014.png,search/adv_014.png,484.8271907463859,576.6119727501035,2.3408520653308296,10.825643495640728,1
adv_015,02_near_periodic_replica,reference/adv_015.png,search/adv_015.png,498.2215660348603,501.8255828302476,0.7495183943109547,9.987841254625947,1
adv_016,02_near_periodic_replica,reference/adv_016.png,search/adv_016.png,498.0213674021936,494.97638447461736,2.7435362140076203,9.490768955880158,1
adv_017,02_near_periodic_replica,reference/adv_017.png,search/adv_017.png,505.067035937811,505.26015623308285,-1.071316205809084,10.455936554562687,1
adv_018,02_near_periodic_replica,reference/adv_018.png,search/adv_018.png,505.0185031977864,504.5791311645197,2.6211249716399045,9.992159196823836,1
adv_019,02_near_periodic_replica,reference/adv_019.png,search/adv_019.png,495.03966912141215,505.14719093330683,1.5895528756685726,10.681152359627859,1
adv_020,02_near_periodic_replica,reference/adv_020.png,search/adv_020.png,498.27702282078883,498.3160456288856,0.656234035772858,9.391706726381576,1
adv_021,02_near_periodic_replica,reference/adv_021.png,search/adv_021.png,505.8069796293838,505.6716854470885,0.66903736983474,9.320562623984602,1
adv_022,02_near_periodic_replica,reference/adv_022.png,search/adv_022.png,504.3104798569068,495.5398273770273,0.9777985259094102,10.943862218935292,1
adv_023,02_near_periodic_replica,reference/adv_023.png,search/adv_023.png,501.8998055728574,505.50134552122086,0.6166215414065022,9.780422261649973,1
adv_024,02_near_periodic_replica,reference/adv_024.png,search/adv_024.png,504.18146839634113,504.5543330458977,-2.4185848325465704,10.865013725792078,1
adv_025,02_near_periodic_replica,reference/adv_025.png,search/adv_025.png,498.0417713076175,495.05336109011165,2.8794967928746473,10.820713964903735,1
adv_026,02_near_periodic_replica,reference/adv_026.png,search/adv_026.png,501.933040436636,505.1278811936666,2.5499142971278994,9.115052879867882,1
adv_027,02_near_periodic_replica,reference/adv_027.png,search/adv_027.png,498.18648291542297,494.82259583795405,0.8691511744322393,10.376164037306914,1
adv_028,02_near_periodic_replica,reference/adv_028.png,search/adv_028.png,504.78795899016717,498.5299348036458,-1.366693341867522,10.102220040033814,1
adv_029,02_near_periodic_replica,reference/adv_029.png,search/adv_029.png,494.6434569914801,505.3246826557417,0.35961824596098335,10.11086312242986,1
adv_030,03_phase_shifted_replica,reference/adv_030.png,search/adv_030.png,496.7351404844424,506.6438398963834,0.8713790654737954,10.843347148986366,1
adv_031,03_phase_shifted_replica,reference/adv_031.png,search/adv_031.png,515.0333269486588,488.6459176665986,-1.7933207053029958,10.870833217781897,1
adv_032,03_phase_shifted_replica,reference/adv_032.png,search/adv_032.png,486.7870397684596,513.6886637425033,1.013060146599841,10.703588963778131,1
adv_033,03_phase_shifted_replica,reference/adv_033.png,search/adv_033.png,515.4277972028427,493.52331663963656,0.7539179986553588,10.28299599575538,1
adv_034,03_phase_shifted_replica,reference/adv_034.png,search/adv_034.png,499.9999999999999,500.0000000000001,2.092146526964008,10.82829636785691,1
adv_035,03_phase_shifted_replica,reference/adv_035.png,search/adv_035.png,502.41870527340683,512.1289579919741,-2.7585020792441206,10.668486186159779,1
adv_036,03_phase_shifted_replica,reference/adv_036.png,search/adv_036.png,513.8676443200939,506.5605625233033,1.1622088681369265,10.45064178874732,1
adv_037,03_phase_shifted_replica,reference/adv_037.png,search/adv_037.png,487.1813640492322,487.33632791654026,0.34842472331890173,10.046090686670995,1
adv_038,03_phase_shifted_replica,reference/adv_038.png,search/adv_038.png,513.5657578158799,489.0622249182441,1.784782393940417,10.325282747289316,1
adv_039,03_phase_shifted_replica,reference/adv_039.png,search/adv_039.png,513.4783597651226,495.9662085788497,2.625099350170701,9.37804568794836,1
adv_040,03_phase_shifted_replica,reference/adv_040.png,search/adv_040.png,506.7227160129568,510.2708320988043,-0.483538028341191,10.574235222534819,1
adv_041,03_phase_shifted_replica,reference/adv_041.png,search/adv_041.png,514.3838729209364,490.0025792071277,-2.0689074034366817,9.133735850872226,1
adv_042,03_phase_shifted_replica,reference/adv_042.png,search/adv_042.png,495.81079081896877,511.2385189725767,-1.6845270462834192,9.46672971039464,1
adv_043,03_phase_shifted_replica,reference/adv_043.png,search/adv_043.png,496.3398452224542,512.9105818798573,-1.7918095379870667,9.83206252367547,1
adv_044,03_phase_shifted_replica,reference/adv_044.png,search/adv_044.png,503.6229617315783,509.95563478821606,1.7124566475155225,10.68474773237753,1
adv_045,04_noise_degraded,reference/adv_045.png,search/adv_045.png,559.1878548770827,454.3707407356284,0.24470764654027288,10.423857302627834,1
adv_046,04_noise_degraded,reference/adv_046.png,search/adv_046.png,562.1026691836134,444.145972042223,-1.111372483117914,9.597049955982259,1
adv_047,04_noise_degraded,reference/adv_047.png,search/adv_047.png,446.53381754081994,569.3266978406915,-0.005832831212247314,10.017339318597198,1
adv_048,04_noise_degraded,reference/adv_048.png,search/adv_048.png,428.39880652196126,432.79686214782646,1.9672083044340596,10.829576316447856,1
