pair_id,gt_x,gt_y,winner_x,winner_y,gt_candidate_rank,gt_corr,winner_corr,gt_psr,winner_psr,gt_context_128,winner_context_128,gt_context_score,winner_context_score,gt_phase_residual,winner_phase_residual,gt_scale,pred_scale,scale_error,gt_theta,pred_theta,theta_error
pair_000,571.9958979375593,398.53034370617024,573.0,474.0,-1,,0.8210021257400513,,2.668327569961548,,0.7244758205121671,,0.740364590591583,,0.035430535674095154,8.906189684526892,8.899999999999999,0.006189684526892947,0.9442014439113252,1.0,0.05579855608867479
pair_001,373.394215556507,522.6150317343146,510.5,523.5,1,0.8823164701461792,0.8722559809684753,2.7388968467712402,2.695727825164795,0.8070926984426683,0.7640622206179947,0.8107343258188329,0.798582497110743,0.11515791714191437,0.08775429427623749,11.638779542655634,11.699999999999998,0.061220457344363766,-0.4391901454174718,-0.75,0.3108098545825282
pair_002,506.9538393948501,470.58932107692567,444.5,316.5,-1,,0.7005248665809631,,2.036292314529419,,0.7081801550513697,,0.5363987878820757,,0.045508358627557755,11.693066826665689,11.699999999999998,0.006933173334308762,-1.96306686038372,-2.0,0.036933139616279975
pair_003,607.6968809170181,645.8140267959674,600.0,660.0,186,0.8535321950912476,0.8629303574562073,1.7472422122955322,1.7852431535720825,0.8271191325645478,0.8406483153288767,0.8294940913805555,0.8416176494758424,0.04456450790166855,0.03661785274744034,8.839181877687723,8.799999999999999,0.03918187768772441,-1.9612051475025936,-2.0,0.03879485249740644
pair_004,560.304385883243,505.4287915025294,548.0,506.0,338,0.6430841684341431,0.7259329557418823,2.262192964553833,2.611015558242798,0.6114611959414152,0.7062867297183936,0.6690806600003125,0.6640213253490573,0.06057969108223915,0.06297261267900467,11.883563444564494,11.899999999999999,0.016436555435504374,3.166196187846392,3.25,0.08380381215360799
pair_005,492.8803672127779,373.9741749168665,466.5,374.5,58,0.8410013914108276,0.8726896047592163,1.9795914888381958,1.9162007570266724,0.6387426707760474,0.7885744505749765,0.6855690524368109,0.6989719343222702,0.10329709202051163,0.044068291783332825,9.67770248526582,9.699999999999998,0.02229751473417707,1.4039346441119367,1.5,0.09606535588806331
pair_007,593.4639558322576,511.994170997082,460.0,523.0,32,0.849291205406189,0.8541385531425476,2.3040175437927246,2.412214994430542,0.8135914172317772,0.8286393284703248,0.7845998994636469,0.7942155284674346,0.07133395224809647,0.05247684195637703,11.214641544183095,11.299999999999999,0.0853584558169036,4.7282918969867005,4.75,0.021708103013299507
pair_008,422.47519132408166,450.34835894814296,406.5,449.5,10,0.7800099849700928,0.7827922105789185,2.3930580615997314,2.400052309036255,0.5690736336292302,0.6463968628850455,0.48836629449521857,0.5956831188877767,0.04537641629576683,0.03209361061453819,9.062300399015344,8.999999999999998,0.062300399015345675,-3.1231085800771217,-3.0,0.12310858007712167
pair_012,415.3336028778185,532.7045826839757,403.5,355.5,17,0.8039388656616211,0.821050226688385,2.629101514816284,2.6907403469085693,0.6376887109163724,0.8141139608726504,0.6828193172810297,0.7993925913299659,0.06337057799100876,0.07748426496982574,9.18916009698428,9.199999999999998,0.010839903015718022,3.859945557946375,4.0,0.14005444205362494
pair_013,502.2262516372216,399.6174248178575,499.5,540.5,1,0.8775079250335693,0.8663911819458008,2.2005858421325684,2.1469602584838867,0.6775381342724918,0.752403561335535,0.7060239067262477,0.7313454093995038,0.12003873288631439,0.06310898065567017,11.81164656207016,11.7,0.11164656207016144,-1.0289295566959034,-1.0,0.028929556695903358
pair_014,553.5988731132766,605.6026301285106,576.0,386.0,-1,,0.7402843236923218,,2.2553298473358154,,0.604373577667477,,0.6652674486282817,,0.06511230021715164,10.912291628466969,10.899999999999999,0.012291628466970295,-1.558736066139066,-1.5,0.0587360661390659
pair_016,477.5328038616003,586.1320035095774,477.5,576.5,31,0.7733441591262817,0.8090254664421082,2.4301533699035645,2.55905818939209,0.5270889538918512,0.6889118254460144,0.5180051241042615,0.5881301947319464,0.061823826283216476,0.04321954771876335,10.057211825069125,10.099999999999998,0.04278817493087317,0.4332513476194233,0.5,0.0667486523805767
pair_017,536.4555630659518,415.1719385817246,378.0,498.0,357,0.8140897750854492,0.820020854473114,1.7935560941696167,1.7143008708953857,0.7887135166372209,0.7906521595821021,0.7746301585689561,0.7740385868117208,0.11500710994005203,0.029590440914034843,8.97877119378156,9.099999999999998,0.12122880621843812,4.067509923316584,4.0,0.06750992331658434
pair_018,633.8302029584735,529.3771388419595,457.5,535.5,-1,,0.8275638818740845,,2.1488497257232666,,0.7959051131962486,,0.7540823620037974,,0.032467253506183624,9.186375492262773,9.199999999999998,0.01362450773722479,0.2863939901769177,0.5,0.2136060098230823
