pair_id,gt_found,label,rank_idx,corr_score,psr,context_128,context_combined,phase_penalty,family_population,dist_to_center,neigh_cons,grad_ncc,pitch_x,pitch_y,periodicity_mode
pair_000,1,0,0,0.8382015824317932,0,0.6691603767839079,0.6880689809477936,0.05,196,120.0,0.8169985711574554,0.7427657246589661,0,11,STRONG
pair_000,1,0,1,0.8304392695426941,0,0.5995078012811175,0.627989789043775,0.05,196,84.21995013059554,0.8090338706970215,0.7243519425392151,0,11,STRONG
pair_000,1,0,2,0.840872585773468,0,0.6687271432217669,0.6882399916311785,0.05,196,160.17802595861892,0.7857719659805298,0.746329128742218,0,11,STRONG
pair_000,1,0,3,0.8264375925064087,0,0.5938147839575789,0.6200467045263752,0.05,196,90.21086409075129,0.8055058419704437,0.7161039710044861,0,11,STRONG
pair_000,1,0,4,0.8324360847473145,0,0.6602733270912781,0.6788849889706134,0.16249999999999998,196,128.96898852049665,0.8108875751495361,0.7225359678268433,0,11,STRONG
pair_000,1,0,5,0.8210021257400513,0,0.7244758205121671,0.740364590591583,0.1662132317597294,196,77.4919350642375,0.8006535768508911,0.7136493921279907,0,11,STRONG
pair_000,1,0,6,0.8279562592506409,0,0.6579300440445364,0.6763266545727726,0.05,196,169.941166289984,0.8049297332763672,0.720045268535614,0,11,STRONG
pair_000,1,0,7,0.8390869498252869,0,0.6010283123043213,0.6264115248954458,0.05,196,209.65209276322523,0.8143440783023834,0.739804744720459,0,11,STRONG
pair_000,1,0,8,0.8043465614318848,0,0.5142241358312313,0.5440635469922123,0.05,196,74.00675644831355,0.7709093391895294,0.6693989634513855,0,11,STRONG
pair_000,1,0,9,0.8015616536140442,0,0.6436233994295898,0.6621691925772694,0.16249999999999998,196,111.39569111954016,0.7817002832889557,0.6694847941398621,0,11,STRONG
pair_000,1,0,10,0.8232266306877136,0,0.6598995187555473,0.6784910281158201,0.0875,196,205.23157651784484,0.8017489016056061,0.7195689082145691,0,11,STRONG
pair_000,1,0,11,0.8280252814292908,0,0.7328451463981336,0.7480260059016925,0.05,196,224.61077445216202,0.7754122912883759,0.7277916669845581,0,11,STRONG
pair_000,1,0,12,0.8190703392028809,0,0.5941938681944797,0.6184727009523141,0.16249999999999998,196,197.0,0.7987533807754517,0.7043498158454895,0,11,STRONG
pair_000,1,0,13,0.8187663555145264,0,0.657958712906874,0.6730590461157318,0.125,196,202.6153992173349,0.7960842847824097,0.7206511497497559,0,11,STRONG
pair_000,1,0,14,0.8144519925117493,0,0.5900947250977763,0.6156624407810001,0.16249999999999998,196,197.3068675946177,0.7641059160232544,0.697485089302063,0,11,STRONG
pair_000,1,0,15,0.8005842566490173,0,0.5086627860908395,0.5390554404613275,0.05,196,142.52368224263643,0.7619543671607971,0.6574321389198303,0,11,STRONG
pair_000,1,0,16,0.8239536881446838,0,0.595687586312959,0.6180507810200246,0.05,196,228.84492565927695,0.8013627529144287,0.7199066877365112,0,11,STRONG
pair_000,1,0,17,0.8089557886123657,0,0.5787322867926801,0.6039919272837244,0.16249999999999998,196,199.46177578674065,0.788673609495163,0.6724470257759094,0,11,STRONG
pair_000,1,0,18,0.8191542625427246,0,0.5905717329716635,0.6139807836649042,0.16249999999999998,196,234.47174669882938,0.7666399478912354,0.7047212719917297,0,11,STRONG
