pair_id,x,y,theta,scale,found,score
pair_000,0.0,0.0,0.0,0.0,0,0.3620986986650805
pair_001,373.49449558894446,522.5705404729125,-0.75,11.699999999999998,1,0.9820293425539095
pair_002,0.0,0.0,0.0,0.0,0,0.18450644364041266
pair_003,0.0,0.0,0.0,0.0,0,0.3696080315844352
pair_004,0.0,0.0,0.0,0.0,0,0.1947218101612405
pair_005,496.4982044613764,373.8430800944442,1.5,9.699999999999998,1,0.9160214830218991
pair_006,0.0,0.0,0.0,0.0,0,0.184440589149805
pair_007,592.5,512.0613693644843,4.75,11.3,1,0.9039136070929188
pair_008,422.5,450.5,-3.0,8.999999999999998,1,0.8337463607033132
pair_009,562.8581103436682,430.04828333403697,-2.0,9.999999999999998,1,0.9501498998308818
pair_010,418.5,375.5,-4.75,11.999999999999998,1,0.971368869239094
pair_011,419.1658868682338,570.9354167546222,-2.0,8.899999999999999,1,0.9902232006062793
pair_012,415.4289145506948,532.6542813124645,4.0,9.199999999999998,1,0.9305442305027039
pair_013,502.518586956735,399.58376865509496,-1.0,11.7,1,0.9863704354850094
pair_014,0.0,0.0,0.0,0.0,0,0.382874963281693
pair_015,568.7121878991512,421.16302334735536,-2.5,11.599999999999998,1,0.8615498468180467
pair_016,477.5,581.5,0.5,10.099999999999998,1,0.9759995164492299
pair_017,0.0,0.0,0.0,0.0,0,0.14969057759779392
pair_018,0.0,0.0,0.0,0.0,0,0.3723741694552595
pair_019,462.81973429075913,460.230999373619,2.75,8.599999999999998,1,0.90616780516495
pair_020,0.0,0.0,0.0,0.0,0,0.5358403726421646
pair_021,465.0504112830255,532.2187343250473,0.75,11.599999999999998,1,0.9729883388178855
pair_022,442.6510005274641,353.5874174030195,-2.75,10.3,1,0.9356901322572359
pair_023,357.268740029777,561.7062202828068,5.0,9.3,1,0.9347522560338458
pair_024,0.0,0.0,0.0,0.0,0,0.19162748977004646
pair_025,379.8003461208645,515.4523189553084,-3.5,11.199999999999998,1,0.9214642054935769
pair_026,513.9979639315527,617.9619094048236,-3.5,11.9,1,0.9619896448047084
pair_027,0.0,0.0,0.0,0.0,0,0.6258539595210985
pair_028,478.04985212343104,439.9361849830313,1.0,11.599999999999998,1,0.9248735358644632
pair_029,0.0,0.0,0.0,0.0,0,0.39715877412721734
pair_030,0.0,0.0,0.0,0.0,0,0.15861807447271836
pair_031,0.0,0.0,0.0,0.0,0,0.34691619188082284
pair_032,471.0446611718314,488.0501383371991,-4.75,10.9,1,0.9324753900472369
pair_033,506.52742141113526,415.50205679406486,1.75,8.999999999999998,1,1.0
pair_034,0.0,0.0,0.0,0.0,0,0.19149607707201932
pair_035,380.7255624371082,390.8872339001392,2.25,11.099999999999998,1,0.9011657116775796
pair_036,0.0,0.0,0.0,0.0,0,0.23377932482940492
