pair_id,v54_cx,v54_cy,v54_struct,gt_cx,gt_cy,gt_struct,delta_struct,delta_c_core,delta_ctx_s32,delta_ctx_s64,delta_ctx_s128,delta_ctx_comb,delta_grad,delta_phase_pen,lattice_dev
pair_003,108.59149551391602,353.4429016113281,0.5017340115425905,605.7079467773438,645.7266235351562,0.516061566323042,0.014327554780451557,0.004815578460693359,0.010346293449401855,0.022503376007080078,-0.033394694328308105,-0.00228726863861084,-0.0028155893087387085,-0.09270509831248423,0.2388294659914876
pair_004,87.01249313354492,49.94267654418945,0.008100787959992889,558.98193359375,507.201171875,0.23767309803356326,0.22957231007357037,0.20139849558472633,0.15225157886743546,0.06530299782752991,0.3334595821797848,0.18995534777641299,0.24542568996548653,-0.1411474508437579,-1.0
pair_006,109.02153015136719,50.99892854690552,0.34185082365096314,572.6066284179688,444.41656494140625,0.4024699102342129,0.06061908658324977,0.2533124089241028,-0.1180117130279541,-0.10290619730949402,-0.08848732709884644,-0.10015975236892694,0.008775241672992706,0.05229182717010039,0.47321805121370286
pair_017,60.51535367965698,79.5599479675293,0.14828622569480632,535.0,423.0,-0.30714050903916357,-0.4554267347339699,-0.586941123008728,-0.4190692026168108,-0.5088165700435638,-0.4500306025147438,-0.4673527095466852,-0.18695859611034393,0.06891458774368575,-1.0
pair_020,69.14945793151855,218.31900024414062,0.32430515084256334,361.38385009765625,466.8851623535156,0.3268922054767609,0.002587054634197561,0.03552567958831787,0.0710504949092865,0.021368354558944702,-0.01094326376914978,0.01838013529777527,-0.010036587715148926,0.10364745084375786,-1.0
pair_029,138.04736328125,128.06300354003906,0.6059893071651459,505.64312744140625,618.9960327148438,0.6006953871250152,-0.0052939200401306286,-0.005819797515869141,-0.02026808261871338,-0.009500980377197266,0.004232227802276611,-0.006161117553710849,-0.0032384395599365234,0.0,0.3326405023943364
pair_038,88.74692916870117,212.09048461914062,0.02240625893756579,360.24578857421875,492.5999755859375,0.031762452906138314,0.009356193968572523,-0.05586069077253342,0.21903550624847412,-0.01496131718158722,-0.01292051374912262,0.0326543688774109,0.052689433097839355,-0.04732721930688161,0.4602737851945548
pair_043,169.553955078125,146.4311065673828,0.4234502871334553,561.364990234375,533.8243103027344,0.7316664158474813,0.308216128714026,0.27386218309402466,0.28756266832351685,0.33158576488494873,0.3201228380203247,0.3181959748268127,0.375361904501915,0.043585412256314224,-1.0
pair_044,122.93782043457031,132.99400329589844,-0.3007406708987886,488.33392333984375,610.2162475585938,0.3188996668159962,0.6196403377147848,0.8630928993225098,0.9512230753898621,0.6724535226821899,0.4712407737970352,0.6477223336696625,0.16553156822919846,-0.042116460960662266,-1.0
pair_045,354.76220703125,55.50715923309326,0.314985710978508,373.1289978027344,572.7908935546875,0.3952602186022123,0.08027450762370425,0.12300240993499756,0.10282737016677856,0.09035634994506836,0.07259306311607361,0.08574523925781252,-0.00762610137462616,-0.019794901687515742,0.47301014390005464
